URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Client Port,Remote Address,Remote Port,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Handshake Size (bytes),Request Header Size (bytes),Request Body Size (bytes),Response Handshake Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=1,COMPLETE,200,https,GET,application/json,/192.168.1.155,51455,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:03:39,02 Jun 2020 19:03:39,02 Jun 2020 19:03:39,02 Jun 2020 19:03:39,6,,,,0,0,6,103.35254,0.0,0.0,,309,,,0,326,,29.1%
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=0,COMPLETE,200,https,GET,application/json,/192.168.1.155,51455,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:03:40,02 Jun 2020 19:03:40,02 Jun 2020 19:03:40,02 Jun 2020 19:03:40,7,,,,0,0,7,88.58789,0.0,0.0,,309,,,0,326,,29.1%
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=1,COMPLETE,200,https,GET,application/json,/192.168.1.155,51455,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:03:44,02 Jun 2020 19:03:44,02 Jun 2020 19:03:44,02 Jun 2020 19:03:44,8,,,,0,1,7,77.51465,0.0,318.35938,,309,,,0,326,,29.1%
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=0,COMPLETE,200,https,GET,application/json,/192.168.1.155,51455,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:03:45,02 Jun 2020 19:03:45,02 Jun 2020 19:03:45,02 Jun 2020 19:03:45,6,,,,0,0,6,103.35254,0.0,0.0,,309,,,0,326,,29.1%
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=1,COMPLETE,200,https,GET,application/json,/192.168.1.155,51455,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:03:49,02 Jun 2020 19:03:49,02 Jun 2020 19:03:49,02 Jun 2020 19:03:49,7,,,,1,1,5,88.58789,301.7578,318.35938,,309,,,0,326,,29.1%
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=0,COMPLETE,200,https,GET,application/json,/192.168.1.155,51455,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:03:50,02 Jun 2020 19:03:50,02 Jun 2020 19:03:50,02 Jun 2020 19:03:50,12,,,,0,1,11,51.67578,0.0,318.35938,,309,,,0,326,,29.1%
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=1,COMPLETE,200,https,GET,application/json,/192.168.1.155,51455,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:03:54,02 Jun 2020 19:03:54,02 Jun 2020 19:03:54,02 Jun 2020 19:03:54,6,,,,0,0,6,103.35254,0.0,0.0,,309,,,0,326,,29.1%
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=0,COMPLETE,200,https,GET,application/json,/192.168.1.155,51455,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:03:55,02 Jun 2020 19:03:55,02 Jun 2020 19:03:55,02 Jun 2020 19:03:55,9,,,,0,1,8,68.90137,0.0,318.35938,,309,,,0,326,,29.1%
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=1,COMPLETE,200,https,GET,application/json,/192.168.1.155,51455,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:03:59,02 Jun 2020 19:03:59,02 Jun 2020 19:03:59,02 Jun 2020 19:03:59,16,,,,0,0,16,38.756836,0.0,0.0,,309,,,0,326,,29.1%
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=0,COMPLETE,200,https,GET,application/json,/192.168.1.155,51455,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:04:00,02 Jun 2020 19:04:00,02 Jun 2020 19:04:00,02 Jun 2020 19:04:00,7,,,,0,0,7,88.58789,0.0,0.0,,309,,,0,326,,29.1%
